"","VARIABLES","grade","spelling_value","math_value","reading_value"
"413","COVID-19 year * Household income missing","3","0.159","-0.0434","-0.0243"
"414","COVID-19 year * Household income missing","3","0.159","-0.0434","0.0611"
"415","COVID-19 year * Household income missing","3","0.159","-0.0434","-0.0627"
"416","COVID-19 year * Household income missing","3","0.159","-0.0434","0.197"
"417","COVID-19 year * Household income missing","4","-0.018","-0.0218","-0.0243"
"418","COVID-19 year * Household income missing","4","-0.018","-0.0218","0.0611"
"419","COVID-19 year * Household income missing","4","-0.018","-0.0218","-0.0627"
"420","COVID-19 year * Household income missing","4","-0.018","-0.0218","0.197"
"421","COVID-19 year * Household income missing","4","-0.018","0.0881","-0.0243"
"422","COVID-19 year * Household income missing","4","-0.018","0.0881","0.0611"
"423","COVID-19 year * Household income missing","4","-0.018","0.0881","-0.0627"
"424","COVID-19 year * Household income missing","4","-0.018","0.0881","0.197"
"425","COVID-19 year * Household income missing","4","-0.018","0.0165","-0.0243"
"426","COVID-19 year * Household income missing","4","-0.018","0.0165","0.0611"
"427","COVID-19 year * Household income missing","4","-0.018","0.0165","-0.0627"
"428","COVID-19 year * Household income missing","4","-0.018","0.0165","0.197"
"429","COVID-19 year * Household income missing","4","-0.018","-0.0434","-0.0243"
"430","COVID-19 year * Household income missing","4","-0.018","-0.0434","0.0611"
"431","COVID-19 year * Household income missing","4","-0.018","-0.0434","-0.0627"
"432","COVID-19 year * Household income missing","4","-0.018","-0.0434","0.197"
"433","COVID-19 year * Household income missing","5","-0.19","-0.0218","-0.0243"
"434","COVID-19 year * Household income missing","5","-0.19","-0.0218","0.0611"
"435","COVID-19 year * Household income missing","5","-0.19","-0.0218","-0.0627"
"436","COVID-19 year * Household income missing","5","-0.19","-0.0218","0.197"
"437","COVID-19 year * Household income missing","5","-0.19","0.0881","-0.0243"
"438","COVID-19 year * Household income missing","5","-0.19","0.0881","0.0611"
"439","COVID-19 year * Household income missing","5","-0.19","0.0881","-0.0627"
"440","COVID-19 year * Household income missing","5","-0.19","0.0881","0.197"
"441","COVID-19 year * Household income missing","5","-0.19","0.0165","-0.0243"
"442","COVID-19 year * Household income missing","5","-0.19","0.0165","0.0611"
"443","COVID-19 year * Household income missing","5","-0.19","0.0165","-0.0627"
"444","COVID-19 year * Household income missing","5","-0.19","0.0165","0.197"
"445","COVID-19 year * Household income missing","5","-0.19","-0.0434","-0.0243"
"446","COVID-19 year * Household income missing","5","-0.19","-0.0434","0.0611"
"447","COVID-19 year * Household income missing","5","-0.19","-0.0434","-0.0627"
"448","COVID-19 year * Household income missing","5","-0.19","-0.0434","0.197"
"449","Medium","2","-0.018","-0.0106","0.00413"
"450","Medium","2","-0.018","-0.0106","0.0461"
"451","Medium","2","-0.018","-0.0106","0.0362"
"452","Medium","2","-0.018","-0.0106","0.0209"
"453","Medium","2","-0.018","-0.0249","0.00413"
"454","Medium","2","-0.018","-0.0249","0.0461"
"455","Medium","2","-0.018","-0.0249","0.0362"
"456","Medium","2","-0.018","-0.0249","0.0209"
"457","Medium","2","-0.018","0.00206","0.00413"
